start_id,end_id,relation
100389,600001,有
100876,600002,有
100379,600003,有
100320,600004,有
100056,600005,有
100187,600006,有
100172,600007,有
100412,600008,有
100572,600009,有
100390,600010,有
100189,600011,有
100426,600012,有
100159,600013,有
100427,600014,有
100115,600015,有
100409,600016,有
100452,600017,有
100206,600018,有
100101,600019,有
100171,600020,有
100387,600021,有
100421,600022,有
100214,600023,有
100863,600024,有
100719,600025,有
100443,600026,有
100212,600027,有
100100,600028,有
100653,600029,有
100184,600030,有
100446,600031,有
100386,600032,有
100098,600033,有
100712,600034,有
100396,600035,有
100194,600036,有
100093,600037,有
100425,600038,有
100168,600039,有
100188,600040,有
100203,600041,有
100210,600042,有
100174,600043,有
100676,600044,有
100915,600045,有
100600,600046,有
100133,600047,有
100161,600048,有
100199,600049,有
100441,600050,有
100209,600051,有
100384,600052,有
100431,600053,有
100445,600054,有
100306,600055,有
100321,600056,有
100469,600057,有
100099,600058,有
100428,600059,有
100119,600060,有
100447,600061,有
100911,600062,有
100019,600063,有
100102,600064,有
100146,600065,有
100304,600066,有
100125,600067,有
100086,600068,有
100406,600069,有
100186,600070,有
100305,600071,有
100735,600072,有
100902,600073,有
100208,600074,有
100451,600075,有
100473,600076,有
100435,600077,有
100509,600078,有
100392,600079,有
100402,600080,有
100454,600081,有
100405,600082,有
100380,600083,有
100181,600084,有
100990,600085,有
100385,600086,有
100113,600087,有
100424,600088,有
100651,600089,有
100393,600090,有
100404,600091,有
100448,600092,有
100496,600093,有
100150,600094,有
100411,600095,有
100434,600096,有
100870,600097,有
100408,600098,有
100198,600099,有
100176,600100,有
100201,600101,有
100401,600102,有
100213,600103,有
100095,600104,有
100418,600105,有
100685,600106,有
100192,600107,有
100415,600108,有
100190,600109,有
100437,600110,有
100204,600111,有
100619,600112,有
100394,600113,有
100037,600114,有
100175,600115,有
100377,600116,有
100598,600117,有
100197,600118,有
100195,600119,有
100170,600120,有
100096,600121,有
100410,600122,有
100391,600123,有
100453,600124,有
100416,600125,有
