start_id,end_id,relation,:TYPE
400199,100781,employ_of,employ_of
400200,100776,employ_of,employ_of
400201,100799,employ_of,employ_of
400202,100799,employ_of,employ_of
400203,100598,employ_of,employ_of
400204,100598,employ_of,employ_of
400205,100598,employ_of,employ_of
400206,100598,employ_of,employ_of
400207,100598,employ_of,employ_of
400208,100598,employ_of,employ_of
400209,100598,employ_of,employ_of
400210,100304,employ_of,employ_of
400211,100089,employ_of,employ_of
400212,100089,employ_of,employ_of
400213,100089,employ_of,employ_of
400214,100089,employ_of,employ_of
400215,100184,employ_of,employ_of
400216,100184,employ_of,employ_of
400217,100184,employ_of,employ_of
400218,100184,employ_of,employ_of
400219,100184,employ_of,employ_of
400220,100184,employ_of,employ_of
400221,100184,employ_of,employ_of
400222,100184,employ_of,employ_of
400223,100184,employ_of,employ_of
400224,100184,employ_of,employ_of
400225,100184,employ_of,employ_of
400226,100184,employ_of,employ_of
400227,100184,employ_of,employ_of
400228,100184,employ_of,employ_of
400229,100184,employ_of,employ_of
400230,100184,employ_of,employ_of
400231,100093,employ_of,employ_of
400232,100093,employ_of,employ_of
400233,100093,employ_of,employ_of
400234,100093,employ_of,employ_of
400235,100650,employ_of,employ_of
400236,100650,employ_of,employ_of
400237,100449,employ_of,employ_of
400238,100449,employ_of,employ_of
400239,100449,employ_of,employ_of
400240,100449,employ_of,employ_of
400241,100449,employ_of,employ_of
400242,100449,employ_of,employ_of
400243,100449,employ_of,employ_of
400244,100449,employ_of,employ_of
400245,100449,employ_of,employ_of
400246,100449,employ_of,employ_of
400247,100449,employ_of,employ_of
400248,100449,employ_of,employ_of
400249,100449,employ_of,employ_of
400250,100449,employ_of,employ_of
400251,100449,employ_of,employ_of
400252,100449,employ_of,employ_of
400253,100449,employ_of,employ_of
400254,100449,employ_of,employ_of
400255,100449,employ_of,employ_of
400256,100449,employ_of,employ_of
400257,100449,employ_of,employ_of
400258,100449,employ_of,employ_of
400259,100449,employ_of,employ_of
400260,100449,employ_of,employ_of
400261,100449,employ_of,employ_of
400262,100449,employ_of,employ_of
400263,100449,employ_of,employ_of
400264,100449,employ_of,employ_of
400265,100449,employ_of,employ_of
400266,100449,employ_of,employ_of
400267,100449,employ_of,employ_of
400268,100449,employ_of,employ_of
400269,100449,employ_of,employ_of
400270,100449,employ_of,employ_of
400271,100449,employ_of,employ_of
400272,100449,employ_of,employ_of
400273,100449,employ_of,employ_of
400274,100449,employ_of,employ_of
400275,100449,employ_of,employ_of
400276,100449,employ_of,employ_of
400277,100449,employ_of,employ_of
400278,100449,employ_of,employ_of
400279,100449,employ_of,employ_of
