start_id,end_id,relation,:TYPE
200160,100252,in_charge_of,in_charge_of
200161,100253,in_charge_of,in_charge_of
200162,100260,in_charge_of,in_charge_of
200163,100278,in_charge_of,in_charge_of
200164,100295,in_charge_of,in_charge_of
200165,100298,in_charge_of,in_charge_of
200166,100299,in_charge_of,in_charge_of
200167,100301,in_charge_of,in_charge_of
200168,100302,in_charge_of,in_charge_of
200169,100303,in_charge_of,in_charge_of
200170,100309,in_charge_of,in_charge_of
200171,100310,in_charge_of,in_charge_of
200172,100311,in_charge_of,in_charge_of
200173,100313,in_charge_of,in_charge_of
200174,100319,in_charge_of,in_charge_of
200175,100322,in_charge_of,in_charge_of
200176,100323,in_charge_of,in_charge_of
200177,100326,in_charge_of,in_charge_of
200178,100329,in_charge_of,in_charge_of
200179,100331,in_charge_of,in_charge_of
200180,100335,in_charge_of,in_charge_of
200181,100345,in_charge_of,in_charge_of
200182,100352,in_charge_of,in_charge_of
200183,100353,in_charge_of,in_charge_of
200184,100354,in_charge_of,in_charge_of
200185,100360,in_charge_of,in_charge_of
200186,100364,in_charge_of,in_charge_of
200187,100366,in_charge_of,in_charge_of
200188,100369,in_charge_of,in_charge_of
200189,100371,in_charge_of,in_charge_of
200190,100373,in_charge_of,in_charge_of
200191,100376,in_charge_of,in_charge_of
200192,100378,in_charge_of,in_charge_of
200193,100379,in_charge_of,in_charge_of
200194,100380,in_charge_of,in_charge_of
200195,100381,in_charge_of,in_charge_of
200196,100383,in_charge_of,in_charge_of
200197,100387,in_charge_of,in_charge_of
200198,100390,in_charge_of,in_charge_of
200199,100391,in_charge_of,in_charge_of
200200,100393,in_charge_of,in_charge_of
200201,100394,in_charge_of,in_charge_of
200202,100406,in_charge_of,in_charge_of
200203,100407,in_charge_of,in_charge_of
200204,100408,in_charge_of,in_charge_of
200205,100410,in_charge_of,in_charge_of
200206,100411,in_charge_of,in_charge_of
200207,100412,in_charge_of,in_charge_of
200208,100416,in_charge_of,in_charge_of
200209,100419,in_charge_of,in_charge_of
200210,100421,in_charge_of,in_charge_of
200211,100428,in_charge_of,in_charge_of
200212,100429,in_charge_of,in_charge_of
200213,100431,in_charge_of,in_charge_of
200214,100433,in_charge_of,in_charge_of
200215,100435,in_charge_of,in_charge_of
200216,100437,in_charge_of,in_charge_of
200217,100440,in_charge_of,in_charge_of
200218,100442,in_charge_of,in_charge_of
200219,100452,in_charge_of,in_charge_of
200220,100454,in_charge_of,in_charge_of
200221,100474,in_charge_of,in_charge_of
200222,100478,in_charge_of,in_charge_of
200223,100479,in_charge_of,in_charge_of
200224,100488,in_charge_of,in_charge_of
200225,100492,in_charge_of,in_charge_of
200226,100493,in_charge_of,in_charge_of
200227,100495,in_charge_of,in_charge_of
200228,100500,in_charge_of,in_charge_of
200229,100508,in_charge_of,in_charge_of
200230,100509,in_charge_of,in_charge_of
200231,100510,in_charge_of,in_charge_of
200232,100511,in_charge_of,in_charge_of
200233,100512,in_charge_of,in_charge_of
200234,100513,in_charge_of,in_charge_of
200235,100514,in_charge_of,in_charge_of
200236,100515,in_charge_of,in_charge_of
200237,100516,in_charge_of,in_charge_of
200238,100517,in_charge_of,in_charge_of
200239,100518,in_charge_of,in_charge_of
200240,100519,in_charge_of,in_charge_of
200241,100520,in_charge_of,in_charge_of
200242,100521,in_charge_of,in_charge_of
200243,100522,in_charge_of,in_charge_of
200244,100523,in_charge_of,in_charge_of
200245,100524,in_charge_of,in_charge_of
200246,100525,in_charge_of,in_charge_of
200247,100526,in_charge_of,in_charge_of
200248,100527,in_charge_of,in_charge_of
200249,100528,in_charge_of,in_charge_of
200250,100529,in_charge_of,in_charge_of
200251,100530,in_charge_of,in_charge_of
200252,100531,in_charge_of,in_charge_of
200253,100532,in_charge_of,in_charge_of
200254,100533,in_charge_of,in_charge_of
200255,100534,in_charge_of,in_charge_of
200256,100535,in_charge_of,in_charge_of
200257,100536,in_charge_of,in_charge_of
200258,100540,in_charge_of,in_charge_of
200259,100541,in_charge_of,in_charge_of
200260,100547,in_charge_of,in_charge_of
200261,100549,in_charge_of,in_charge_of
200262,100550,in_charge_of,in_charge_of
200263,100551,in_charge_of,in_charge_of
200264,100554,in_charge_of,in_charge_of
200265,100559,in_charge_of,in_charge_of
200266,100560,in_charge_of,in_charge_of
200267,100561,in_charge_of,in_charge_of
200268,100572,in_charge_of,in_charge_of
200269,100574,in_charge_of,in_charge_of
200270,100577,in_charge_of,in_charge_of
200271,100578,in_charge_of,in_charge_of
